419,312,72,474,-23099
266,247,115,440,-1.1137e+05
241,80,205,125,8431
169,401,349,315,-1.5237e+05
42,446,325,321,-1.623e+05
87,207,189,379,-1.5109e+05
332,324,337,127,12926
241,391,395,336,-1.7174e+05
166,405,428,165,-1.4235e+05
474,44,97,299,1.3027e+05
412,14,135,126,1.3704e+05
235,405,95,286,4904
437,201,28,451,6884
39,398,286,195,-78500
435,45,250,79,1.2498e+05
415,150,67,349,60935
247,419,258,28,35561
420,62,499,247,-1.2741e+05
123,197,123,85,12475
301,261,280,353,-86308
281,290,90,403,-62548
235,125,338,359,-1.754e+05
133,484,233,298,-77004
353,374,185,378,-15100
202,94,306,342,-1.604e+05
395,147,256,325,-436
466,100,23,263,1.5746e+05
253,480,97,116,89144
381,461,310,167,67272
320,99,31,486,-1.2486e+05
132,206,398,213,-1.6575e+05
346,310,19,204,1.0874e+05
194,385,127,240,2407
292,222,119,3,93294
221,197,222,416,-1.538e+05
332,120,409,326,-1.5133e+05
316,171,333,406,-1.5877e+05
221,413,357,372,-1.7569e+05
380,371,455,5,-25550
415,330,360,227,24096
146,330,341,167,-89854
444,254,91,120,1.9986e+05
266,64,477,123,-1.655e+05
376,68,422,402,-1.9151e+05
192,71,285,426,-2.1874e+05
159,89,401,319,-2.2838e+05
104,227,204,479,-2.3754e+05
137,330,62,190,11825
269,182,350,14,-32135
412,309,102,284,1.0958e+05
57,426,161,151,-2873
416,107,377,100,31627
167,35,445,206,-2.0907e+05
300,318,4,313,23815
305,32,350,9,-26356
239,389,127,320,-22508
364,417,121,469,-60406
381,192,63,88,1.5265e+05
395,244,297,413,-78353
368,242,318,153,35091
299,173,375,72,-39108
184,248,313,127,-55442
153,373,475,310,-2.6102e+05
319,55,493,384,-2.8324e+05
250,442,184,233,18555
167,265,29,226,2472
446,285,442,237,-24117
296,104,110,121,71275
99,106,418,68,-1.5895e+05
279,413,61,356,-11316
434,335,382,169,47371
231,200,96,4,64129
160,21,255,250,-99825
146,71,341,442,-2.8323e+05
210,109,193,424,-1.6203e+05
318,174,215,356,-54437
134,218,71,111,22394
448,430,268,143,1.5143e+05
218,171,31,264,-6033
191,86,81,249,-23481
447,490,307,433,-32929
245,33,40,26,61049
395,57,27,251,97995
284,147,418,379,-2.2301e+05
414,282,136,397,23491
294,472,361,462,-2.1013e+05
300,433,77,10,1.2727e+05
244,324,346,204,-69396
375,237,117,172,1.2105e+05
67,201,119,371,-1.2721e+05
449,383,337,182,93208
404,246,378,17,44643
311,322,483,255,-1.6939e+05
399,142,212,133,1.1077e+05
447,298,396,205,30768
249,310,489,354,-2.7144e+05
178,244,5,350,-66441
403,50,160,219,93848
130,271,5,274,-31101
324,489,226,227,51271
403,383,348,186,45009
407,439,237,300,63380
463,238,341,275,46263
399,210,148,392,4633
72,143,218,494,-2.7208e+05
409,44,66,450,-35175
305,253,245,299,-31101
270,136,273,133,-5718
143,420,107,447,-1.4881e+05
292,190,477,442,-3.1863e+05
497,429,333,52,1.7632e+05
19,396,431,74,-1.5128e+05
135,201,162,71,7040
124,85,215,294,-1.0879e+05
470,431,203,288,1.3985e+05
438,276,414,126,32172
63,457,147,134,10104
438,93,430,369,-1.1992e+05
463,433,333,485,-88445
381,103,60,378,8977
175,254,47,18,53492
157,283,287,243,-88469
480,369,142,195,2.0911e+05
118,84,247,485,-2.7391e+05
244,79,462,295,-2.3303e+05
409,300,160,98,1.6208e+05
267,488,130,175,72564
341,467,81,15,1.562e+05
201,173,368,228,-1.2971e+05
427,247,440,20,13029
227,54,164,154,6317
140,290,356,3,-78145
318,269,105,279,39158
216,325,321,59,-27366
33,4,165,56,-28872
361,172,79,457,-67569
302,468,354,102,2284
235,327,423,155,-1.1503e+05
252,53,482,470,-3.8442e+05
465,50,197,44,1.8048e+05
306,278,253,220,9027
432,131,303,259,40834
212,53,344,175,-98717
332,159,195,383,-58590
60,35,8,334,-1.0452e+05
470,293,186,96,2.0639e+05
136,339,345,105,-77654
111,389,466,372,-3.0432e+05
127,251,434,327,-2.5406e+05
241,323,322,430,-1.982e+05
466,489,325,73,1.551e+05
91,483,18,121,41616
171,404,450,56,-1.36e+05
83,110,121,36,1952
238,191,434,116,-1.2607e+05
356,160,218,21,94771
128,78,197,387,-1.6439e+05
209,248,454,419,-3.132e+05
459,200,489,6,-8476
287,89,139,84,64892
57,413,30,295,-43376
117,79,110,334,-1.0207e+05
80,93,279,484,-2.964e+05
172,419,478,428,-3.4018e+05
6,115,396,338,-2.5952e+05
354,11,29,390,-26525
282,127,163,171,36414
325,47,431,362,-2.0648e+05
156,248,198,263,-59237
212,125,235,161,-23702
297,406,366,490,-2.4525e+05
86,269,223,198,-54637
332,462,311,157,35054
373,155,316,220,6373
376,117,185,343,1202
453,269,57,290,1.4476e+05
83,105,293,28,-69244
374,44,412,424,-2.0524e+05
241,77,363,141,-85869
199,113,330,115,-71224
373,493,270,172,85945
7,30,260,193,-1.018e+05
171,301,301,489,-2.7038e+05
329,278,8,284,55321
449,333,173,24,2.044e+05
370,290,244,415,-65861
259,251,75,273,12027
404,134,10,63,1.7255e+05
339,332,34,187,1.12e+05
56,8,204,354,-1.63e+05
234,40,121,441,-1.5037e+05
399,318,132,405,9552
437,40,127,499,-70161
17,102,346,287,-1.916e+05
419,282,346,363,-47724
118,51,413,164,-1.7844e+05
152,85,214,157,-38841
386,354,80,179,1.4596e+05
248,145,348,419,-2.2066e+05
485,228,162,289,1.4826e+05
