22.93,-20.902,1
12.41,2.0033,1
-20.686,-33.303,1
46.974,-13.555,1
41.965,20.368,1
-37.785,-40.863,1
27.699,-47.479,1
-25.897,-21.022,1
0.41928,-25.702,-1
-19.651,-22.902,1
19.947,3.3987,1
29.042,-22.908,-1
45.746,-35.306,1
32.106,11.142,1
15.447,-37.809,-1
5.8345,-19.565,1
40.21,2.2625,1
-3.8992,-13.105,1
-15.537,-20.524,-1
5.9999,1.1438,1
-13.442,-10.772,1
32.833,16.014,1
32.475,-40.652,-1
37.322,-20.321,1
35.264,-17.808,1
-12.76,-36.223,-1
36.858,-41.521,1
27.446,-8.223,1
40.655,17.06,1
0.46789,-34.079,-1
34.506,-48.254,1
32.273,-16.129,1
-17.234,-28.157,1
30.285,-23.458,-1
28.41,-44.067,1
19.673,-39.975,1
44.987,-49.537,1
14.536,-41.583,1
23.327,-1.5939,-1
7.2174,-12.476,1
-33.378,-44.528,1
33.135,-28.414,1
-11.045,-24.306,1
24.914,-4.1714,-1
36.3,-4.2614,1
-33.467,-22.563,1
35.245,-8.1977,1
22.604,-32.331,1
32.228,7.6725,-1
35.368,16.214,1
-24.475,-23.98,1
49.643,-36.649,1
-15.43,-30.913,1
-25.716,-16.204,1
32.515,0.35716,1
-7.77,-32.43,1
31.116,-38.91,-1
-4.2691,-25.445,1
-7.9699,-42.394,1
-24.023,-47.321,1
-8.6998,-30.172,1
30.76,15.626,1
-5.5171,-15.224,1
-47.359,-38.387,-1
-44.955,-30.513,1
21.008,-47.791,1
43.651,16.026,1
45.831,-43,1
-5.6569,-12.707,1
38.6,7.7603,1
-3.2663,-14.491,1
44.091,-8.5704,1
30.169,13.791,1
-45.8,-41.466,1
38.65,-41.025,1
39.451,-49.337,1
-22.243,-40.034,1
22.005,10.409,1
24.717,-19.496,1
-3.1962,-24.971,1
-33.149,-32.823,1
40.091,-43.231,1
34.38,-27.881,1
40.196,-10.668,1
-18.833,-40.712,1
47.04,-49.403,1
-37.135,-29.067,1
45.335,-8.0944,1
4.4104,-37.596,1
-6.5222,-35.62,1
-13.219,-37.067,1
36.521,13.172,1
-22.351,-41.042,1
34.89,-25.944,1
45.774,-6.839,1
40.043,-19.87,1
18.1,-37.395,1
9.7509,-28.353,1
23.3,-26.933,1
27.889,-13.06,1
12.892,42.877,-1
-33.213,19.483,-1
-21.834,-0.53522,-1
0.094044,21.988,-1
-22.5,14.31,-1
-45.896,9.8994,-1
-42.835,-5.1014,-1
-5.3684,44.677,-1
-9.1739,23.661,-1
28.845,25.485,-1
19.802,36.737,-1
18.102,21.747,-1
-46.948,21.62,-1
-40.975,25.619,-1
9.1835,23.548,-1
-25.145,-12.401,-1
-17.231,-9.4543,-1
13.944,41.782,-1
-16.681,0.081652,-1
-36.458,34.47,-1
-29.762,0.10647,-1
12.25,26.346,1
-10.21,35.164,-1
5.19,41.892,-1
1.4175,12.466,1
8.478,15.002,-1
-46.786,-22.858,-1
34.603,47.138,-1
-32.459,1.7622,1
-12.703,32.191,-1
39.909,32.398,-1
49.561,34.933,-1
-44.3,29.836,1
-19.302,4.943,-1
-31.747,-10.488,-1
-35.987,10.31,-1
-44.604,27.457,-1
-33.704,37.006,-1
5.8991,19.675,1
-4.8725,41.558,-1
-36.296,13.529,-1
-32.97,39.361,-1
-25.679,22.151,1
-17.343,33.734,-1
-18.324,21.539,-1
-9.1242,22.101,-1
20.053,12.095,-1
7.6578,30.913,1
-44.614,48.289,-1
-5.4366,1.223,-1
-44.318,-19.556,-1
-32.496,19.715,-1
-2.6583,15.032,-1
-29.609,-3.0024,-1
-19.595,34.391,-1
-11.949,24.159,1
-41.212,-7.6558,-1
-20.121,7.2578,-1
0.93932,40.591,-1
46.707,44.48,-1
-41.114,37.405,-1
-45.818,13.588,-1
-28.451,22.256,-1
-23.504,27.738,1
-43.852,17.003,-1
2.3251,15.91,-1
-43.498,13.347,-1
-48.765,5.4466,-1
12.508,49.095,-1
-14.526,20.196,-1
14.511,17.295,1
12.08,41.09,-1
45.902,26.43,-1
-28.494,39.789,-1
-28.337,-15.443,-1
-45.233,3.1521,-1
-49.207,16.48,-1
-39.834,37.576,1
-44.591,44.517,-1
18.359,48.407,-1
-49.218,-25.132,-1
-2.3674,48.834,-1
34.694,48.878,-1
-28.742,10.362,-1
-21.769,-10.818,-1
-39.49,-6.7109,1
-40.698,25.767,-1
-5.8281,27.822,-1
-2.8302,48.702,-1
24.413,15.519,-1
-49.413,-3.8188,-1
-38.951,39.677,-1
-41.04,-10.681,-1
-39.427,29.188,-1
-45.088,2.534,-1
-29.232,28.441,-1
-10.159,7.3065,-1
-32.026,14.938,-1
-49.533,-11.128,-1
-26.065,33.42,-1
